procurement_id,date,school_id,vendor_name,grain_type,quantity,unit,total_cost,payment_status,quantity_kg,quantity_missing,cost_missing,payment_status_missing
MDM004194,2025-11-29,SCH0292,Goyal Enterprises,Cooking Oil,22.8,Kg,2736.0,UNKNOWN,22.8,False,False,False
MDM008415,2026-02-09,SCH0511,Kumar & Co.,Cooking Oil,39200.0,Grams,4704.0,DUE,39.2,False,False,False
MDM009246,2025-06-11,SCH0342,Sharma Traders,Rice,,,820.0,PAID,,True,False,False
MDM007888,2025-10-18,SCH0098,Singh Brothers,Wheat,57.9,Kg,1737.0,UNKNOWN,57.9,False,False,False
MDM009609,2025-04-16,SCH0303,goyal mill,Mustard Oil,,,2676.0,PENDING,,True,False,False
MDM010676,2026-03-30,SCH0496,kumar general store,Dal,0.274,Bori,1233.0,DUE,13.7,False,False,False
MDM011630,2025-10-04,SCH0151,Sharma Traders,Cooking Oil,36.8,Kg,4416.0,UNKNOWN,36.8,False,False,False
MDM005338,2026-02-25,SCH0547,Singh Agro,Wheat,44.6,Kg,,UNKNOWN,44.6,False,True,True
MDM007986,2025-08-26,SCH0040,Kumar Supplies,Wheat,,,1731.0,UNKNOWN,,True,False,True
MDM000294,2026-01-12,SCH0358,Kumar & Co.,Rice,37.7,Kg,1508.0,PAID,37.7,False,False,False
MDM011862,2025-04-13,SCH0143,Singh Brothers,Mustard Oil,,,6828.0,UNKNOWN,,True,False,False
MDM004314,2025-06-01,SCH0552,Sharma Traders,Pulses,,,4941.0,PAID,,True,False,False
MDM010212,2025-11-29,SCH0356,S. Agro Works,Cooking Oil,0.226,Bags,1356.0,UNKNOWN,11.3,False,False,False
MDM004868,2026-01-13,SCH0146,Goyal Rice Mill,Wheat,17400.0,Grams,522.0,UNKNOWN,17.4,False,False,False
MDM000312,2026-02-18,SCH0186,S. Agro Works,Pulses,55.6,Kg,5004.0,UNKNOWN,55.6,False,False,False
MDM003317,2026-01-05,SCH0264,kumar general store,Wheat,53.2,Kg,1596.0,UNKNOWN,53.2,False,False,False
MDM003586,2025-04-21,SCH0592,Kumar Supplies,Mustard Oil,31.8,Kg,3816.0,UNKNOWN,31.8,False,False,False
MDM009379,2025-07-29,SCH0474,Singh Agro,Cooking Oil,39.5,Kg,4740.0,PAID,39.5,False,False,False
MDM000773,2026-02-10,SCH0418,Singh Agro,Cooking Oil,29.3,Kg,3516.0,PAID,29.3,False,False,False
MDM000928,2026-03-18,SCH0265,Goyal Rice Mill,Rice,24.0,Kg,960.0,PAID,24.0,False,False,False
MDM006158,2025-04-05,SCH0306,Sharma Traders,Wheat,55900.0,Grams,1677.0,PENDING,55.9,False,False,False
MDM004954,2025-07-24,SCH0454,Goyal Rice Mill,Atta,1.044,50kg Bags,1566.0,UNKNOWN,52.2,False,False,True
MDM005023,2025-11-29,SCH0445,Kumar & Co.,Mustard Oil,1.134,Bags,6804.0,UNKNOWN,56.7,False,False,False
MDM003892,2025-07-19,SCH0076,Sharma Traders,Mustard Oil,53.4,Kg,,UNKNOWN,53.4,False,True,False
MDM011857,2025-10-16,SCH0485,Kumar & Co.,Pulses,15000.0,Grams,1350.0,UNKNOWN,15.0,False,False,True
MDM011989,2025-11-24,SCH0544,Kumar Supplies,Mustard Oil,36500.0,Grams,4380.0,UNKNOWN,36.5,False,False,False
MDM000305,2025-05-01,SCH0405,Singh Brothers,Rice,,,712.0,UNKNOWN,,True,False,False
MDM005759,2025-06-23,SCH0397,Goyal Enterprises,Wheat,37.2,Kg,1116.0,PAID,37.2,False,False,False
MDM006129,2025-11-24,SCH0561,kumar general store,Mustard Oil,59.7,Kg,7164.0,PAID,59.7,False,False,False
MDM000812,2025-06-05,SCH0589,Singh Brothers,Dal,0.772,50kg Bags,3474.0,PAID,38.6,False,False,False
MDM004094,2025-10-03,SCH0195,goyal mill,Cooking Oil,58.4,Kg,7008.0,UNKNOWN,58.4,False,False,False
MDM010724,2025-07-24,SCH0047,S. Agro Works,Dal,0.5,50kg Bags,2250.0,PENDING,25.0,False,False,False
MDM003998,2025-07-25,SCH0210,Singh Agro,Rice,0.318,Sacks,636.0,PAID,15.9,False,False,False
MDM000248,2025-05-03,SCH0032,Kumar & Co.,Pulses,32.6,Kg,2934.0,PENDING,32.6,False,False,False
MDM001618,2026-01-09,SCH0481,Goyal Rice Mill,Atta,0.63,Sacks,945.0,UNKNOWN,31.5,False,False,True
MDM000201,2025-09-14,SCH0322,Singh Brothers,Wheat,39.3,Kg,1179.0,PAID,39.3,False,False,False
MDM004908,2025-05-26,SCH0058,Goyal Enterprises,Rice,23.1,Kg,924.0,UNKNOWN,23.1,False,False,False
MDM010408,2026-02-20,SCH0167,Goyal Rice Mill,Dal,56500.0,Grams,5085.0,PENDING,56.5,False,False,False
MDM010543,2026-01-24,SCH0383,Kumar Supplies,Atta,39.3,Kg,1179.0,UNKNOWN,39.3,False,False,True
MDM004672,2025-05-15,SCH0376,Kumar Supplies,Rice,24.0,Kg,960.0,UNKNOWN,24.0,False,False,False
MDM003488,2026-02-23,SCH0125,Singh Brothers,Mustard Oil,52.6,Kg,6312.0,DUE,52.6,False,False,False
MDM011677,2025-04-13,SCH0387,Singh Brothers,Dal,,,4779.0,UNKNOWN,,True,False,False
MDM009892,2026-03-22,SCH0074,Singh Agro,Cooking Oil,,,6732.0,UNKNOWN,,True,False,True
MDM009298,2025-05-16,SCH0220,Sharma Traders,Mustard Oil,51.1,Kg,6132.0,DUE,51.1,False,False,False
MDM005900,2026-01-31,SCH0514,kumar general store,Rice,56.5,Kg,,DUE,56.5,False,True,False
MDM003618,2025-11-18,SCH0304,goyal mill,Dal,18.4,Kg,1656.0,UNKNOWN,18.4,False,False,False
MDM003932,2026-12-03,SCH0149,Kumar & Co.,Lentils,47700.0,Grams,4293.0,PAID,47.7,False,False,False
MDM009319,2025-11-22,SCH0253,kumar general store,Dal,13.7,Kg,1233.0,UNKNOWN,13.7,False,False,False
MDM003026,2026-01-16,SCH0271,Sharma Traders,Wheat,,,681.0,UNKNOWN,,True,False,False
MDM004411,2026-03-26,SCH0567,Kumar Supplies,Dal,0.634,Sacks,2853.0,UNKNOWN,31.7,False,False,False
MDM001189,2025-04-13,SCH0514,Sharma & Sons,Mustard Oil,18.2,Kg,2184.0,PENDING,18.2,False,False,False
MDM008016,2025-10-10,SCH0419,Kumar & Co.,Dal,45700.0,Grams,4113.0,UNKNOWN,45.7,False,False,True
MDM004442,2025-11-04,SCH0554,Goyal Rice Mill,Mustard Oil,30000.0,Grams,3600.0,DUE,30.0,False,False,False
MDM010944,2025-10-15,SCH0446,Kumar Supplies,Cooking Oil,12.0,Kg,1440.0,UNKNOWN,12.0,False,False,False
MDM002755,2025-05-20,SCH0455,Sharma Traders,Rice,48.2,Kg,1928.0,UNKNOWN,48.2,False,False,True
MDM002953,2026-01-22,SCH0467,goyal mill,Rice,0.546,Sacks,1092.0,DUE,27.3,False,False,False
MDM007147,2026-06-03,SCH0001,kumar general store,Cooking Oil,,,2352.0,UNKNOWN,,True,False,True
MDM009076,2025-08-21,SCH0535,goyal mill,Wheat,14.1,Kg,423.0,DUE,14.1,False,False,False
MDM008395,2025-05-08,SCH0549,Kumar & Co.,Rice,42800.0,Grams,1712.0,UNKNOWN,42.8,False,False,False
MDM006537,2025-08-28,SCH0348,Singh Brothers,Dal,22500.0,Grams,2025.0,PAID,22.5,False,False,False
MDM010629,2025-06-14,SCH0167,Sharma & Sons,Atta,29.6,Kg,888.0,UNKNOWN,29.6,False,False,False
MDM003873,2025-11-07,SCH0344,Sharma & Sons,Cooking Oil,37300.0,Grams,,UNKNOWN,37.3,False,True,False
MDM000519,2025-07-07,SCH0406,Kumar Supplies,Wheat,,,597.0,PENDING,,True,False,False
MDM002022,2025-05-21,SCH0454,Singh Brothers,Mustard Oil,23.5,Kg,,DUE,23.5,False,True,False
MDM005166,2025-06-12,SCH0560,Sharma Traders,Dal,,,3096.0,DUE,,True,False,False
MDM005701,2025-06-10,SCH0591,kumar general store,Rice,42.3,Kg,1692.0,DUE,42.3,False,False,False
MDM001384,2025-11-04,SCH0282,Singh Brothers,Wheat,37.7,Kg,1131.0,UNKNOWN,37.7,False,False,True
MDM008377,2026-02-16,SCH0401,Goyal Rice Mill,Rice,29.2,Kg,1168.0,PAID,29.2,False,False,False
MDM002302,2025-10-12,SCH0439,Singh Brothers,Rice,52.6,Kg,2104.0,PAID,52.6,False,False,False
MDM005009,2025-06-21,SCH0522,Sharma Traders,Rice,14.0,Kg,560.0,PENDING,14.0,False,False,False
MDM007771,2025-09-26,SCH0451,Goyal Enterprises,Rice,16.4,Kg,656.0,PAID,16.4,False,False,False
MDM001218,2025-05-05,SCH0524,Sharma & Sons,Wheat,32600.0,Grams,978.0,UNKNOWN,32.6,False,False,False
MDM008084,2026-01-10,SCH0551,goyal mill,Dal,17.7,Kg,1593.0,UNKNOWN,17.7,False,False,False
MDM001276,2025-10-28,SCH0068,Goyal Enterprises,Mustard Oil,26.7,Kg,3204.0,UNKNOWN,26.7,False,False,True
MDM007448,2025-07-15,SCH0497,Singh Agro,Lentils,36.3,Kg,3267.0,UNKNOWN,36.3,False,False,False
MDM004280,2025-09-10,SCH0253,S. Agro Works,Wheat,32.2,Kg,966.0,UNKNOWN,32.2,False,False,False
MDM000971,2026-03-20,SCH0266,goyal mill,Cooking Oil,0.73,Bags,4380.0,UNKNOWN,36.5,False,False,False
MDM008150,2025-12-16,SCH0511,goyal mill,Pulses,56200.0,Grams,5058.0,PAID,56.2,False,False,False
MDM003838,2026-01-20,SCH0594,Kumar & Co.,Rice,13.7,Kg,548.0,UNKNOWN,13.7,False,False,False
MDM008405,2026-02-08,SCH0347,Kumar Supplies,Wheat,27.1,Kg,813.0,UNKNOWN,27.1,False,False,True
MDM003446,2025-09-26,SCH0090,kumar general store,Wheat,41800.0,Grams,1254.0,PENDING,41.8,False,False,False
MDM004771,2025-09-07,SCH0585,goyal mill,Wheat,54300.0,Grams,1629.0,PAID,54.3,False,False,False
MDM002629,2025-08-24,SCH0300,Sharma Traders,Wheat,0.276,50kg Bags,414.0,UNKNOWN,13.8,False,False,False
MDM005768,2025-11-19,SCH0395,Singh Brothers,Pulses,1.084,Bags,4878.0,PENDING,54.2,False,False,False
MDM007446,2025-09-10,SCH0198,goyal mill,Lentils,34500.0,Grams,3105.0,PENDING,34.5,False,False,False
MDM010963,2026-01-16,SCH0294,Goyal Enterprises,Rice,0.33,Bags,660.0,UNKNOWN,16.5,False,False,False
MDM007782,2025-07-08,SCH0170,kumar general store,Wheat,31.9,Kg,957.0,UNKNOWN,31.9,False,False,False
MDM000614,2026-01-22,SCH0291,kumar general store,Wheat,24.5,Kg,735.0,DUE,24.5,False,False,False
MDM003814,2026-03-19,SCH0337,Kumar & Co.,Rice,,,1272.0,UNKNOWN,,True,False,False
MDM005863,2025-08-01,SCH0021,Sharma Traders,Cooking Oil,,,1524.0,UNKNOWN,,True,False,True
MDM010837,2026-03-04,SCH0550,Goyal Rice Mill,Dal,1.136,Bags,5112.0,UNKNOWN,56.8,False,False,False
MDM010150,2026-02-22,SCH0184,Singh Agro,Rice,14.1,Kg,564.0,UNKNOWN,14.1,False,False,True
MDM000430,2025-12-19,SCH0106,Kumar & Co.,Wheat,23.8,Kg,714.0,UNKNOWN,23.8,False,False,False
MDM009129,2026-02-19,SCH0452,Goyal Rice Mill,Dal,34.2,Kg,3078.0,UNKNOWN,34.2,False,False,False
MDM003080,2025-12-20,SCH0381,Singh Agro,Dal,38.5,Kg,3465.0,UNKNOWN,38.5,False,False,False
MDM001966,2025-04-16,SCH0588,goyal mill,Rice,,,1208.0,UNKNOWN,,True,False,True
MDM008138,2025-07-25,SCH0228,Singh Agro,Rice,,,1856.0,PENDING,,True,False,False
MDM006110,2025-05-21,SCH0065,Goyal Enterprises,Dal,0.62,Bags,2790.0,PENDING,31.0,False,False,False
MDM001787,2025-08-26,SCH0527,Kumar Supplies,Rice,21.5,Kg,860.0,PAID,21.5,False,False,False
MDM000397,2025-10-13,SCH0200,goyal mill,Cooking Oil,0.5720000000000001,50kg Bags,3432.0,PENDING,28.6,False,False,False
MDM006921,2025-04-26,SCH0083,Goyal Enterprises,Mustard Oil,49700.0,Grams,5964.0,UNKNOWN,49.7,False,False,True
MDM007202,2025-10-10,SCH0348,Singh Agro,Rice,19.7,Kg,788.0,UNKNOWN,19.7,False,False,True
MDM006241,2025-10-07,SCH0550,goyal mill,Lentils,0.994,50kg Bags,4473.0,DUE,49.7,False,False,False
MDM007898,2025-09-19,SCH0040,Sharma Traders,Wheat,11.5,Kg,345.0,UNKNOWN,11.5,False,False,False
MDM008742,2025-08-10,SCH0178,Goyal Rice Mill,Mustard Oil,25.9,Kg,3108.0,UNKNOWN,25.9,False,False,False
MDM011027,2025-08-15,SCH0298,Kumar Supplies,Dal,46.9,Kg,4221.0,DUE,46.9,False,False,False
MDM000748,2026-03-07,SCH0193,Sharma & Sons,Lentils,20.2,Kg,1818.0,PAID,20.2,False,False,False
MDM004032,2025-05-10,SCH0015,goyal mill,Dal,,,3753.0,PENDING,,True,False,False
MDM001840,2025-06-20,SCH0253,Kumar Supplies,Mustard Oil,45.9,Kg,5508.0,DUE,45.9,False,False,False
MDM009241,2025-12-07,SCH0224,Singh Agro,Rice,25.1,Kg,1004.0,PENDING,25.1,False,False,False
MDM009254,2025-09-24,SCH0232,S. Agro Works,Lentils,,,2772.0,UNKNOWN,,True,False,False
MDM009913,2025-08-08,SCH0311,Goyal Enterprises,Cooking Oil,,,6456.0,PENDING,,True,False,False
MDM003843,2025-02-11,SCH0233,kumar general store,Mustard Oil,22.5,Kg,2700.0,UNKNOWN,22.5,False,False,False
MDM009141,2026-02-20,SCH0379,Goyal Rice Mill,Rice,19300.0,Grams,772.0,UNKNOWN,19.3,False,False,False
MDM005653,2026-02-12,SCH0255,Sharma Traders,Dal,,,2439.0,UNKNOWN,,True,False,False
MDM011077,2025-09-07,SCH0587,goyal mill,Mustard Oil,42.2,Kg,,UNKNOWN,42.2,False,True,True
MDM005528,2025-12-29,SCH0277,Kumar Supplies,Wheat,49.8,Kg,1494.0,UNKNOWN,49.8,False,False,False
MDM011976,2025-10-10,SCH0008,Singh Brothers,Lentils,1.198,Sacks,5391.0,UNKNOWN,59.9,False,False,False
MDM002772,2025-07-08,SCH0162,Kumar & Co.,Pulses,54.7,Kg,4923.0,PENDING,54.7,False,False,False
MDM004388,2025-06-22,SCH0154,S. Agro Works,Rice,,,1056.0,PAID,,True,False,False
MDM002902,2026-02-08,SCH0080,Singh Agro,Mustard Oil,23500.0,Grams,2820.0,PAID,23.5,False,False,False
MDM002465,2025-07-21,SCH0077,Singh Agro,Dal,53.0,Kg,4770.0,UNKNOWN,53.0,False,False,False
MDM007700,2026-02-09,SCH0081,Singh Agro,Cooking Oil,34.3,Kg,4116.0,UNKNOWN,34.3,False,False,False
MDM007554,2025-04-27,SCH0542,Kumar Supplies,Wheat,33.0,Kg,990.0,PENDING,33.0,False,False,False
MDM001374,2026-01-09,SCH0366,S. Agro Works,Mustard Oil,,,5400.0,UNKNOWN,,True,False,False
MDM009028,2025-10-15,SCH0356,Kumar & Co.,Cooking Oil,1.012,Sacks,,PAID,50.6,False,True,False
MDM001154,2026-01-18,SCH0221,Sharma Traders,Dal,29.5,Kg,2655.0,PAID,29.5,False,False,False
MDM009025,2026-02-23,SCH0548,S. Agro Works,Rice,27.0,Kg,1080.0,PENDING,27.0,False,False,False
MDM003205,2025-06-21,SCH0226,Kumar Supplies,Mustard Oil,0.394,50kg Bags,2364.0,PAID,19.7,False,False,False
MDM005008,2025-07-02,SCH0059,kumar general store,Rice,37.0,Kg,1480.0,UNKNOWN,37.0,False,False,False
MDM000219,2025-09-26,SCH0517,Singh Agro,Mustard Oil,,,6948.0,UNKNOWN,,True,False,False
MDM001143,2026-01-24,SCH0499,S. Agro Works,Wheat,52.1,Kg,1563.0,PAID,52.1,False,False,False
MDM007106,2025-05-06,SCH0102,Sharma Traders,Dal,,,5094.0,PENDING,,True,False,False
MDM011378,2025-08-14,SCH0179,Sharma Traders,Mustard Oil,45700.0,Grams,5484.0,UNKNOWN,45.7,False,False,False
MDM011113,2026-03-16,SCH0443,Singh Brothers,Rice,30400.0,Grams,1216.0,UNKNOWN,30.4,False,False,False
MDM009449,2026-03-16,SCH0372,Singh Agro,Rice,0.39,Sacks,780.0,UNKNOWN,19.5,False,False,False
MDM007601,2026-06-02,SCH0504,Sharma & Sons,Rice,0.7959999999999999,50kg Bags,1592.0,PAID,39.8,False,False,False
MDM011139,2026-02-18,SCH0020,Sharma Traders,Dal,31100.0,Grams,2799.0,PAID,31.1,False,False,False
MDM004336,2026-01-11,SCH0079,Sharma & Sons,Dal,32.9,Kg,2961.0,DUE,32.9,False,False,False
MDM005400,2025-05-05,SCH0041,goyal mill,Cooking Oil,54.0,Kg,,DUE,54.0,False,True,False
MDM010937,2025-07-27,SCH0239,Goyal Rice Mill,Rice,25.3,Kg,1012.0,UNKNOWN,25.3,False,False,False
MDM008996,2025-06-09,SCH0203,Sharma Traders,Wheat,0.912,50kg Bags,1368.0,UNKNOWN,45.6,False,False,False
MDM007616,2025-07-30,SCH0564,Goyal Enterprises,Dal,34500.0,Grams,3105.0,PAID,34.5,False,False,False
MDM001714,2026-06-01,SCH0589,Kumar Supplies,Wheat,,,,PAID,,True,True,False
MDM008244,2025-11-09,SCH0595,goyal mill,Atta,0.502,Sacks,753.0,PENDING,25.1,False,False,False
MDM009279,2025-07-26,SCH0384,Singh Brothers,Mustard Oil,22000.0,Grams,2640.0,PAID,22.0,False,False,False
MDM002334,2025-12-12,SCH0318,Kumar & Co.,Lentils,,,2466.0,PAID,,True,False,False
MDM008876,2025-04-18,SCH0144,S. Agro Works,Wheat,,,510.0,UNKNOWN,,True,False,False
MDM011298,2025-04-13,SCH0574,Sharma & Sons,Wheat,0.348,Bori,522.0,PENDING,17.4,False,False,False
MDM006621,2025-07-26,SCH0150,S. Agro Works,Rice,24500.0,Grams,980.0,PAID,24.5,False,False,False
MDM002565,2025-11-10,SCH0259,Singh Brothers,Rice,38.7,Kg,1548.0,UNKNOWN,38.7,False,False,True
MDM010508,2025-04-12,SCH0578,Sharma Traders,Cooking Oil,,,4824.0,UNKNOWN,,True,False,False
MDM003795,2025-09-05,SCH0595,Goyal Rice Mill,Wheat,51800.0,Grams,1554.0,PENDING,51.8,False,False,False
MDM006302,2025-10-29,SCH0225,Singh Agro,Rice,,,,UNKNOWN,,True,True,False
MDM010965,2025-06-29,SCH0222,Sharma & Sons,Rice,25800.0,Grams,1032.0,PENDING,25.8,False,False,False
MDM006190,2025-12-27,SCH0155,kumar general store,Mustard Oil,43.2,Kg,5184.0,UNKNOWN,43.2,False,False,False
MDM003753,2025-09-11,SCH0343,Goyal Rice Mill,Rice,0.56,50kg Bags,1120.0,UNKNOWN,28.000000000000004,False,False,True
MDM008526,2025-07-26,SCH0327,Singh Agro,Rice,,,1012.0,UNKNOWN,,True,False,False
MDM006703,2025-12-27,SCH0168,Sharma Traders,Dal,53300.0,Grams,4797.0,UNKNOWN,53.3,False,False,False
MDM004101,2025-08-24,SCH0056,Singh Brothers,Mustard Oil,16.5,Kg,1980.0,PAID,16.5,False,False,False
MDM000136,2026-01-13,SCH0206,Sharma Traders,Mustard Oil,55.9,Kg,6708.0,PAID,55.9,False,False,False
MDM011912,2025-04-26,SCH0561,Kumar Supplies,Dal,49.6,Kg,4464.0,PAID,49.6,False,False,False
MDM008652,2026-01-24,SCH0496,Sharma Traders,Mustard Oil,,,1272.0,UNKNOWN,,True,False,False
MDM000980,2025-05-13,SCH0562,Sharma Traders,Atta,20.3,Kg,,UNKNOWN,20.3,False,True,False
MDM002928,2025-08-13,SCH0115,Kumar & Co.,Mustard Oil,53.9,Kg,6468.0,UNKNOWN,53.9,False,False,False
MDM000009,2025-09-23,SCH0248,Singh Brothers,Rice,22500.0,Grams,900.0,DUE,22.5,False,False,False
MDM003232,2025-04-24,SCH0560,kumar general store,Dal,1.086,Sacks,4887.0,PENDING,54.3,False,False,False
MDM008840,2025-09-15,SCH0503,Sharma Traders,Pulses,56.3,Kg,5067.0,UNKNOWN,56.3,False,False,False
MDM000380,2026-01-31,SCH0137,goyal mill,Rice,39.6,Kg,1584.0,UNKNOWN,39.6,False,False,False
MDM002389,2025-07-30,SCH0519,Goyal Rice Mill,Dal,44.2,Kg,3978.0,DUE,44.2,False,False,False
MDM006673,2026-03-16,SCH0265,Goyal Rice Mill,Cooking Oil,46.6,Kg,5592.0,UNKNOWN,46.6,False,False,False
MDM007403,2026-03-17,SCH0032,goyal mill,Atta,21100.0,Grams,633.0,UNKNOWN,21.1,False,False,False
MDM006560,2025-10-26,SCH0348,Goyal Enterprises,Cooking Oil,21400.0,Grams,2568.0,UNKNOWN,21.4,False,False,True
MDM007294,2025-04-28,SCH0501,goyal mill,Wheat,1.072,Sacks,,DUE,53.6,False,True,False
MDM010114,2026-01-13,SCH0277,goyal mill,Wheat,58.9,Kg,1767.0,UNKNOWN,58.9,False,False,True
MDM002352,2025-09-13,SCH0427,Singh Brothers,Dal,40.5,Kg,3645.0,PAID,40.5,False,False,False
MDM011134,2025-10-09,SCH0166,S. Agro Works,Wheat,25.3,Kg,759.0,PENDING,25.3,False,False,False
MDM000458,2025-11-29,SCH0122,Goyal Rice Mill,Dal,0.8859999999999999,Bags,3987.0,PAID,44.3,False,False,False
